date,
17/05/2012,38
18/05/2012,38.23
21/05/2012,34.03
22/05/2012,31
23/05/2012,32
24/05/2012,33.03
25/05/2012,31.91
29/05/2012,28.84
30/05/2012,28.19
31/05/2012,29.6
01/06/2012,27.72
04/06/2012,26.9
05/06/2012,25.87
06/06/2012,26.81
07/06/2012,26.31
08/06/2012,27.1
11/06/2012,27
12/06/2012,27.4
13/06/2012,27.27
14/06/2012,28.29
15/06/2012,30.01
18/06/2012,31.41
19/06/2012,31.91
20/06/2012,31.6
21/06/2012,31.84
22/06/2012,33.05
25/06/2012,32.06
26/06/2012,33.1
27/06/2012,32.23
28/06/2012,31.36
29/06/2012,31.1
02/07/2012,30.77
03/07/2012,31.2
05/07/2012,31.47
06/07/2012,31.73
09/07/2012,32.17
10/07/2012,31.47
11/07/2012,30.97
12/07/2012,30.81
13/07/2012,30.72
16/07/2012,28.24
17/07/2012,28.09
18/07/2012,29.11
19/07/2012,29
20/07/2012,28.76
23/07/2012,28.75
24/07/2012,28.45
25/07/2012,29.34
26/07/2012,26.84
27/07/2012,23.7
30/07/2012,23.15
31/07/2012,21.71
01/08/2012,20.88
02/08/2012,20.04
03/08/2012,21.09
06/08/2012,21.92
07/08/2012,20.72
08/08/2012,20.72
09/08/2012,21.01
10/08/2012,21.81
13/08/2012,21.6
14/08/2012,20.38
15/08/2012,21.2
16/08/2012,19.87
17/08/2012,19.05
20/08/2012,20.01
21/08/2012,19.16
22/08/2012,19.44
23/08/2012,19.44
24/08/2012,19.41
27/08/2012,19.15
28/08/2012,19.34
29/08/2012,19.1
30/08/2012,19.09
31/08/2012,18.06
04/09/2012,17.73
05/09/2012,18.58
06/09/2012,18.96
07/09/2012,18.98
10/09/2012,18.81
11/09/2012,19.43
12/09/2012,20.93
13/09/2012,20.71
14/09/2012,22
17/09/2012,21.52
18/09/2012,21.87
19/09/2012,23.29
20/09/2012,22.59
21/09/2012,22.86
24/09/2012,20.79
25/09/2012,20.28
26/09/2012,20.62
27/09/2012,20.32
28/09/2012,21.66
01/10/2012,21.99
02/10/2012,22.27
03/10/2012,21.83
04/10/2012,21.95
05/10/2012,20.91
08/10/2012,20.4
09/10/2012,20.23
10/10/2012,19.64
11/10/2012,19.75
12/10/2012,19.52
15/10/2012,19.52
16/10/2012,19.48
17/10/2012,19.88
18/10/2012,18.98
19/10/2012,19
22/10/2012,19.32
23/10/2012,19.5
24/10/2012,23.23
25/10/2012,22.56
26/10/2012,21.94
31/10/2012,21.11
01/11/2012,21.21
02/11/2012,21.18
05/11/2012,21.25
06/11/2012,21.17
07/11/2012,20.47
08/11/2012,19.99
09/11/2012,19.21
12/11/2012,20.07
13/11/2012,19.86
14/11/2012,22.36
15/11/2012,22.17
16/11/2012,23.56
19/11/2012,22.92
20/11/2012,23.1
21/11/2012,24.32
23/11/2012,24
26/11/2012,25.94
27/11/2012,26.15
28/11/2012,26.36
