Date,diet
2011-02-13,71
2011-02-20,71
2011-02-27,69
2011-03-06,71
2011-03-13,71
2011-03-20,75
2011-03-27,74
2011-04-03,86
2011-04-10,75
2011-04-17,83
2011-04-24,79
2011-05-01,81
2011-05-08,78
2011-05-15,76
2011-05-22,75
2011-05-29,74
2011-06-05,75
2011-06-12,72
2011-06-19,72
2011-06-26,70
2011-07-03,69
2011-07-10,74
2011-07-17,73
2011-07-24,73
2011-07-31,73
2011-08-07,66
2011-08-14,71
2011-08-21,70
2011-08-28,72
2011-09-04,67
2011-09-11,67
2011-09-18,69
2011-09-25,68
2011-10-02,67
2011-10-09,64
2011-10-16,64
2011-10-23,64
2011-10-30,70
2011-11-06,67
2011-11-13,64
2011-11-20,54
2011-11-27,68
2011-12-04,58
2011-12-11,59
2011-12-18,57
2011-12-25,68
2012-01-01,100
2012-01-08,84
2012-01-15,83
2012-01-22,78
2012-01-29,75
2012-02-05,74
2012-02-12,71
2012-02-19,80
2012-02-26,76
2012-03-04,74
2012-03-11,76
2012-03-18,76
2012-03-25,75
2012-04-01,71
2012-04-08,78
2012-04-15,80
2012-04-22,77
2012-04-29,79
2012-05-06,75
2012-05-13,74
2012-05-20,71
2012-05-27,73
2012-06-03,75
2012-06-10,73
2012-06-17,74
2012-06-24,76
2012-07-01,70
2012-07-08,74
2012-07-15,77
2012-07-22,75
2012-07-29,76
2012-08-05,76
2012-08-12,74
2012-08-19,74
2012-08-26,73
2012-09-02,70
2012-09-09,70
2012-09-16,71
2012-09-23,68
2012-09-30,68
2012-10-07,65
2012-10-14,65
2012-10-21,63
2012-10-28,58
2012-11-04,60
2012-11-11,66
2012-11-18,59
2012-11-25,65
2012-12-02,60
2012-12-09,57
2012-12-16,49
2012-12-23,55
2012-12-30,91
2013-01-06,92
2013-01-13,84
2013-01-20,77
2013-01-27,80
2013-02-03,79
2013-02-10,74
2013-02-17,80
2013-02-24,83
2013-03-03,83
2013-03-10,77
2013-03-17,81
2013-03-24,76
2013-03-31,77
2013-04-07,83
2013-04-14,82
2013-04-21,82
2013-04-28,83
2013-05-05,78
2013-05-12,77
2013-05-19,80
2013-05-26,74
2013-06-02,72
2013-06-09,72
2013-06-16,76
2013-06-23,75
2013-06-30,68
2013-07-07,76
2013-07-14,72
2013-07-21,73
2013-07-28,75
2013-08-04,69
2013-08-11,75
2013-08-18,68
2013-08-25,68
2013-09-01,72
2013-09-08,70
2013-09-15,70
2013-09-22,64
2013-09-29,68
2013-10-06,63
2013-10-13,65
2013-10-20,67
2013-10-27,63
2013-11-03,64
2013-11-10,65
2013-11-17,61
2013-11-24,52
2013-12-01,57
2013-12-08,56
2013-12-15,51
2013-12-22,55
2013-12-29,83
2014-01-05,99
2014-01-12,78
2014-01-19,73
2014-01-26,71
2014-02-02,70
2014-02-09,67
2014-02-16,76
2014-02-23,77
2014-03-02,74
2014-03-09,75
2014-03-16,71
2014-03-23,73
2014-03-30,71
2014-04-06,71
2014-04-13,70
2014-04-20,73
2014-04-27,71
2014-05-04,72
2014-05-11,71
2014-05-18,69
2014-05-25,66
2014-06-01,68
2014-06-08,66
2014-06-15,64
2014-06-22,66
2014-06-29,64
2014-07-06,69
2014-07-13,63
2014-07-20,63
2014-07-27,65
2014-08-03,65
2014-08-10,62
2014-08-17,63
2014-08-24,60
2014-08-31,62
2014-09-07,62
2014-09-14,66
2014-09-21,63
2014-09-28,62
2014-10-05,60
2014-10-12,60
2014-10-19,62
2014-10-26,57
2014-11-02,57
2014-11-09,59
2014-11-16,58
2014-11-23,51
2014-11-30,59
2014-12-07,52
2014-12-14,46
2014-12-21,48
2014-12-28,70
2015-01-04,90
2015-01-11,80
2015-01-18,70
2015-01-25,66
2015-02-01,66
2015-02-08,66
2015-02-15,66
2015-02-22,65
2015-03-01,67
2015-03-08,69
2015-03-15,71
2015-03-22,72
2015-03-29,65
2015-04-05,69
2015-04-12,67
2015-04-19,69
2015-04-26,67
2015-05-03,66
2015-05-10,66
2015-05-17,64
2015-05-24,63
2015-05-31,67
2015-06-07,66
2015-06-14,63
2015-06-21,63
2015-06-28,60
2015-07-05,60
2015-07-12,60
2015-07-19,64
2015-07-26,63
2015-08-02,63
2015-08-09,61
2015-08-16,63
2015-08-23,58
2015-08-30,57
2015-09-06,60
2015-09-13,58
2015-09-20,58
2015-09-27,58
2015-10-04,56
2015-10-11,59
2015-10-18,57
2015-10-25,57
2015-11-01,57
2015-11-08,54
2015-11-15,53
2015-11-22,49
2015-11-29,51
2015-12-06,51
2015-12-13,47
2015-12-20,44
2015-12-27,62
2016-01-03,81
2016-01-10,69
2016-01-17,68
2016-01-24,72
2016-01-31,69
2016-02-07,62
2016-02-14,63
2016-02-21,69
2016-02-28,66
2016-03-06,67
