,datestamp,co2
0,1958-03-29,316.1
1,1958-04-05,317.3
2,1958-04-12,317.6
3,1958-04-19,317.5
4,1958-04-26,316.4
5,1958-05-03,316.9
6,1958-05-10,
7,1958-05-17,317.5
8,1958-05-24,317.9
9,1958-05-31,
10,1958-06-07,
11,1958-06-14,
12,1958-06-21,
13,1958-06-28,
14,1958-07-05,315.8
15,1958-07-12,315.8
16,1958-07-19,315.4
17,1958-07-26,315.5
18,1958-08-02,315.6
19,1958-08-09,315.1
20,1958-08-16,315.0
21,1958-08-23,
22,1958-08-30,314.1
23,1958-09-06,313.5
24,1958-09-13,
25,1958-09-20,
26,1958-09-27,
27,1958-10-04,
28,1958-10-11,
29,1958-10-18,
30,1958-10-25,
31,1958-11-01,
32,1958-11-08,313.0
33,1958-11-15,313.2
34,1958-11-22,313.5
35,1958-11-29,314.0
36,1958-12-06,314.5
37,1958-12-13,314.4
38,1958-12-20,314.7
39,1958-12-27,315.2
40,1959-01-03,315.2
41,1959-01-10,315.5
42,1959-01-17,315.6
43,1959-01-24,315.8
44,1959-01-31,315.4
45,1959-02-07,
46,1959-02-14,316.9
47,1959-02-21,316.6
48,1959-02-28,316.6
49,1959-03-07,316.8
50,1959-03-14,
51,1959-03-21,316.7
52,1959-03-28,316.7
53,1959-04-04,317.7
54,1959-04-11,317.1
55,1959-04-18,317.6
56,1959-04-25,318.3
57,1959-05-02,318.2
58,1959-05-09,318.7
59,1959-05-16,318.0
60,1959-05-23,318.4
61,1959-05-30,
62,1959-06-06,318.5
63,1959-06-13,318.1
64,1959-06-20,317.8
65,1959-06-27,317.7
66,1959-07-04,316.8
67,1959-07-11,316.8
68,1959-07-18,316.4
69,1959-07-25,316.1
70,1959-08-01,315.6
71,1959-08-08,314.9
72,1959-08-15,
73,1959-08-22,315.0
74,1959-08-29,314.1
75,1959-09-05,314.4
76,1959-09-12,313.9
77,1959-09-19,313.5
78,1959-09-26,313.5
79,1959-10-03,313.0
80,1959-10-10,313.1
81,1959-10-17,313.4
82,1959-10-24,313.4
83,1959-10-31,314.1
84,1959-11-07,314.4
85,1959-11-14,314.8
86,1959-11-21,315.2
87,1959-11-28,315.1
88,1959-12-05,315.0
89,1959-12-12,315.6
90,1959-12-19,315.8
91,1959-12-26,315.7
92,1960-01-02,315.7
93,1960-01-09,316.4
94,1960-01-16,316.7
95,1960-01-23,316.5
96,1960-01-30,316.6
97,1960-02-06,316.6
98,1960-02-13,316.9
99,1960-02-20,317.4
100,1960-02-27,317.0
101,1960-03-05,316.9
102,1960-03-12,317.7
103,1960-03-19,318.0
104,1960-03-26,317.7
105,1960-04-02,318.6
106,1960-04-09,319.3
107,1960-04-16,319.0
108,1960-04-23,319.0
109,1960-04-30,319.7
110,1960-05-07,319.9
111,1960-05-14,319.8
112,1960-05-21,320.0
113,1960-05-28,320.0
114,1960-06-04,319.4
115,1960-06-11,320.0
116,1960-06-18,319.4
117,1960-06-25,319.0
118,1960-07-02,318.1
119,1960-07-09,318.6
120,1960-07-16,318.4
121,1960-07-23,317.9
122,1960-07-30,317.3
123,1960-08-06,316.6
124,1960-08-13,316.7
125,1960-08-20,315.1
126,1960-08-27,314.7
127,1960-09-03,314.7
128,1960-09-10,314.5
129,1960-09-17,314.2
130,1960-09-24,313.3
131,1960-10-01,313.6
132,1960-10-08,313.3
133,1960-10-15,313.9
134,1960-10-22,314.2
135,1960-10-29,314.2
136,1960-11-05,314.5
137,1960-11-12,315.1
138,1960-11-19,315.1
139,1960-11-26,315.4
140,1960-12-03,315.8
141,1960-12-10,316.0
142,1960-12-17,316.2
143,1960-12-24,316.4
144,1960-12-31,316.6
145,1961-01-07,316.7
146,1961-01-14,317.0
147,1961-01-21,317.0
148,1961-01-28,317.0
149,1961-02-04,317.0
150,1961-02-11,317.7
151,1961-02-18,317.9
152,1961-02-25,318.0
153,1961-03-04,318.0
154,1961-03-11,318.5
155,1961-03-18,318.9
156,1961-03-25,318.7
157,1961-04-01,319.4
158,1961-04-08,319.5
159,1961-04-15,318.9
160,1961-04-22,319.7
161,1961-04-29,319.6
162,1961-05-06,320.6
163,1961-05-13,320.4
164,1961-05-20,320.6
165,1961-05-27,320.3
166,1961-06-03,320.0
167,1961-06-10,320.0
168,1961-06-17,319.6
169,1961-06-24,319.4
170,1961-07-01,319.2
171,1961-07-08,319.0
172,1961-07-15,318.4
173,1961-07-22,317.1
174,1961-07-29,317.9
175,1961-08-05,317.9
176,1961-08-12,317.3
177,1961-08-19,316.7
178,1961-08-26,315.2
179,1961-09-02,315.2
180,1961-09-09,314.9
181,1961-09-16,314.5
182,1961-09-23,315.0
183,1961-09-30,315.6
184,1961-10-07,314.9
185,1961-10-14,315.4
186,1961-10-21,315.4
187,1961-10-28,315.7
188,1961-11-04,315.8
189,1961-11-11,315.7
190,1961-11-18,316.2
191,1961-11-25,316.5
192,1961-12-02,316.5
193,1961-12-09,317.0
194,1961-12-16,316.9
195,1961-12-23,317.1
196,1961-12-30,317.4
197,1962-01-06,317.9
198,1962-01-13,318.1
199,1962-01-20,318.0
200,1962-01-27,317.7
201,1962-02-03,318.0
202,1962-02-10,318.3
203,1962-02-17,318.9
