,date,Y
0,01-01-1860,5
1,01-01-1861,3
2,01-01-1862,0
3,01-01-1863,2
4,01-01-1864,0
5,01-01-1865,3
6,01-01-1866,2
7,01-01-1867,3
8,01-01-1868,6
9,01-01-1869,1
10,01-01-1870,2
11,01-01-1871,1
12,01-01-1872,2
13,01-01-1873,1
14,01-01-1874,3
15,01-01-1875,3
16,01-01-1876,3
17,01-01-1877,5
18,01-01-1878,2
19,01-01-1879,4
20,01-01-1880,4
21,01-01-1881,0
22,01-01-1882,2
23,01-01-1883,3
24,01-01-1884,7
25,01-01-1885,12
26,01-01-1886,3
27,01-01-1887,10
28,01-01-1888,9
29,01-01-1889,2
30,01-01-1890,3
31,01-01-1891,7
32,01-01-1892,7
33,01-01-1893,2
34,01-01-1894,3
35,01-01-1895,3
36,01-01-1896,6
37,01-01-1897,2
38,01-01-1898,4
39,01-01-1899,3
40,01-01-1900,5
41,01-01-1901,2
42,01-01-1902,2
43,01-01-1903,4
44,01-01-1904,0
45,01-01-1905,4
46,01-01-1906,2
47,01-01-1907,5
48,01-01-1908,2
49,01-01-1909,3
50,01-01-1910,3
51,01-01-1911,6
52,01-01-1912,5
53,01-01-1913,8
54,01-01-1914,3
55,01-01-1915,6
56,01-01-1916,6
57,01-01-1917,0
58,01-01-1918,5
59,01-01-1919,2
60,01-01-1920,2
61,01-01-1921,2
62,01-01-1922,6
63,01-01-1923,3
64,01-01-1924,4
65,01-01-1925,4
66,01-01-1926,2
67,01-01-1927,2
68,01-01-1928,4
69,01-01-1929,7
70,01-01-1930,5
71,01-01-1931,3
72,01-01-1932,3
73,01-01-1933,0
74,01-01-1934,2
75,01-01-1935,2
76,01-01-1936,2
77,01-01-1937,1
78,01-01-1938,3
79,01-01-1939,4
80,01-01-1940,2
81,01-01-1941,2
82,01-01-1942,1
83,01-01-1943,1
84,01-01-1944,1
85,01-01-1945,2
86,01-01-1946,1
87,01-01-1947,4
88,01-01-1948,4
89,01-01-1949,3
90,01-01-1950,2
91,01-01-1951,1
92,01-01-1952,4
93,01-01-1953,1
94,01-01-1954,1
95,01-01-1955,1
96,01-01-1956,0
97,01-01-1957,0
98,01-01-1958,2
99,01-01-1959,0
